Instance,Makespan,Solving Time
1,98,1.114
2,90,1.085
3,103,1.051
4,112,1.059
5,118,1.034
6,105,1.043
7,86,1.051
8,112,1.049
9,130,1.063
10,118,1.05
11,96,1.033
12,113,1.055
13,89,1.036
14,102,1.041
15,113,1.031
16,120,1.047
17,109,1.041
18,119,1.05
19,111,1.055
20,99,1.047
21,109,1.033
22,104,1.042
23,121,1.025
24,123,1.061
25,92,1.041
26,100,1.043
27,102,1.053
28,112,1.026
29,107,1.058
30,121,1.045
